true_sku,onbuy_sku,opc,recorded
648573900220,648574000000,PXM27YZ,2026-09-03
653709952448,653710000000,PXM27ZB,2026-09-03
654790446403,654790000000,PXM27Z8,2026-09-03
656853180491,656853000000,PXM27YY,2026-09-03
659990735531,659991000000,PXM27ZN,2026-09-03
660107413983,660107000000,PXM27Z2,2026-09-03
663253072059,663253000000,PXM27Z6,2026-09-03
670861604404,670862000000,PXM27ZZ,2026-09-03
673529623205,673530000000,PXM27YW,2026-09-03
674072330916,674072000000,PXM27Z7,2026-09-03
674177860875,674178000000,PXM27ZD,2026-09-03
675023030718,675023000000,PXM27ZK,2026-09-03
676672222189,676672000000,PXM27ZQ,2026-09-03
678789766556,678790000000,PXM27ZR,2026-09-03
682730802163,682731000000,PXM27ZJ,2026-09-03
685663453815,685663000000,PXM27ZM,2026-09-03
688566184121,688566000000,PXM27ZX,2026-09-03
691643810615,691644000000,PXM282B,2026-09-03
693655976174,693656000000,PXM282C,2026-09-03
697261230293,697261000000,PXM282N,2026-09-03
709566151248,709566000000,PXM2822,2026-09-03
711342930671,711343000000,PXM282F,2026-09-03
715862209019,715862000000,PXM282H,2026-09-03
720293374380,720293000000,PXM2828,2026-09-03
729142687350,729143000000,PXM282J,2026-09-03
731057936782,731058000000,PXM2829,2026-09-03
731923029532,731923000000,PXM282Q,2026-09-03
736418243141,736418000000,PXM282T,2026-09-03
736460755661,736461000000,PXM2858,2026-09-03
737988098667,737988000000,PXM2855,2026-09-03
748126173276,748126000000,PXM285Q,2026-09-03
748745725481,748746000000,PXM285T,2026-09-03
750546798786,750547000000,PXM2856,2026-09-03
751169143199,751169000000,PXM285N,2026-09-03
751907608416,751908000000,PXM285B,2026-09-03
753409681973,753410000000,PXM285C,2026-09-03
755960782380,755961000000,PXM2857,2026-09-03
756424177315,756424000000,PXM2865,2026-09-03
759130196755,759130000000,PXM285F,2026-09-03
760738355895,760738000000,PXM285X,2026-09-03
771439030202,771439000000,PXM285Z,2026-09-03
772826233473,772826000000,PXM285M,2026-09-03
782536613687,782537000000,PXM285K,2026-09-03
782599227678,782599000000,PXM2867,2026-09-03
787611873215,787612000000,PXM285G,2026-09-03
790388523306,790389000000,PXM285H,2026-09-03
790429664289,790430000000,PXM285J,2026-09-03
793936549223,793937000000,PXM285W,2026-09-03
805739030195,805739000000,PXM2866,2026-09-03
807885768557,807886000000,PXM2862,2026-09-03
810303976854,810304000000,PXM286K,2026-09-03
811569831970,811570000000,PXM286H,2026-09-03
815081977406,815082000000,PXM286J,2026-09-03
817067330618,817067000000,PXM286B,2026-09-03
824492360530,824492000000,PXM2869,2026-09-03
827891696149,827892000000,PXM286X,2026-09-03
828785565916,828786000000,PXM286D,2026-09-03
834121035715,834121000000,PXM286P,2026-09-03
835119613014,835120000000,PXM286M,2026-09-03
841592381623,841592000000,PXM286R,2026-09-03
843265609805,843266000000,PXM2868,2026-09-03
846314285630,846314000000,PXM286G,2026-09-03
847207500496,847208000000,PXM286Q,2026-09-03
861686007505,861686000000,PXM286F,2026-09-03
864989675709,864990000000,PXM2872,2026-09-03
869866758391,869867000000,PXM286T,2026-09-03
870044692468,870045000000,PXM286W,2026-09-03
871910803032,871911000000,PXM286Y,2026-09-03
878423113887,878423000000,PXM2876,2026-09-03
887090925709,887091000000,PXM2878,2026-09-03
898283477912,898283000000,PXM287W,2026-09-03
910751509359,910752000000,PXM287T,2026-09-03
914941056128,914941000000,PXM2885,2026-09-03
915037403772,915037000000,PXM287K,2026-09-03
918319689970,918320000000,PXM287H,2026-09-03
918928753017,918929000000,PXM2886,2026-09-03
919926886288,919927000000,PXM287N,2026-09-03
921266131539,921266000000,PXM287C,2026-09-03
922308910105,922309000000,PXM288B,2026-09-03
932901652616,932902000000,PXM288D,2026-09-03
934953184930,934953000000,PXM288G,2026-09-03
970430385674,970430000000,PXM289M,2026-09-03
977197377966,977197000000,PXM289R,2026-09-03
977318659872,977319000000,PXM28B8,2026-09-03
979138482654,979138000000,PXM28BX,2026-09-03
981558184995,981558000000,PXM28BW,2026-09-03
986832628301,986833000000,PXM28BJ,2026-09-03
993367563526,993368000000,PXM28BM,2026-09-03
996158346612,996158000000,PXM28BY,2026-09-03
105239260512,105239000000,PXM27JP,2026-09-03
114693688350,114694000000,PXM27JX,2026-09-03
118213014629,118213000000,PXM27K7,2026-09-03
